a 11.602% n 2.365%   A 11.602% N 2.365%
b 4.701% o 6.264%    B 4.701% O 6.264%
c 3.511% p 2.545%    C 3.511% P 2.545%
d 2.670% q 0.173%    D 2.670% Q 0.173%
e 2.001% r 1.653%    E 2.001% R 1.653%
f 3.779% s 7.755%    F 3.779% S 7.755%
g 1.950% t 16.671%   G 1.950% T 16.671%
h 7.232% u 1.487%    H 7.232% U 1.487%
i 6.286% v 0.619%    I 6.286% V 0.619%
j 0.631% w 6.661%    J 0.631% W 6.661%
k 0.690% x 0.005%    K 0.690% X 0.005%
l 2.705% y 1.620%    L 2.705% Y 1.620%
m 4.374% z 0.050%    M 4.374% Z 0.050% 

  




